school_id,school_name,education_level,latitude,longitude
1292,Pre Escolar Pe.Antonio Eduardo Brito,Pre-School,-8.615282,125.664739
1784,Pre Escolar Rairema,Pre-School,-8.797219,125.527053
1481,Pre Escolar Saburia,Pre-School,-8.716159,125.588139
1560,Pre Escolar Sarlala,Pre-School,-8.672932,125.545945
1294,Pre Escolar Silvestre,Pre-School,-8.702871,125.527379
1785,Pre Escolar Tohumeta,Pre-School,-8.634144,125.544062
1547,Pre-Escolar Liurai B,Pre-School,-8.756375,125.530599
1707,EB 1.2 Cafe Ainaro,Basic,-8.993096,125.503693
60,EB Catolica 1.2 Maulau,Basic,-8.801260,125.666370
716,EB Catolica 1.2 S. Paulo Ainaro,Basic,-8.985710,125.506180
636,EB Catolica 1.2.3 Nosa Senhora de Lurdes,Basic,-9.110070,125.584650
1018,EB Catolica 1.2.3 Sagrado Coracao de Jesus Aituto,Basic,-8.906120,125.586860
1023,EB Catolica 3 Sao Paulo Maubisse,Basic,-8.832600,125.600090
1009,EB Catolica 3 St M. Ainaro,Basic,-8.989260,125.505610
931,EBC 1.2.3 - 4 Montanhas Builico,Basic,-9.008990,125.502980
1260,EBC 1.2.3 - 7/12/ Maulau,Basic,-9.362084,124.081623
954,EBC 1.2.3 / 4 Unidade Aimerleu,Basic,-9.132126,125.572691
1014,EBC 1.2.3 20 de Agosto 82 DARE BOETUA,Basic,-8.961819,125.528673
55,EBC 1.2.3 Aituto,Basic,-8.910504,125.584186
1010,EBC 1.2.3 Casa,Basic,-8.599910,125.616598
829,EBC 1.2.3 Flecha,Basic,-8.884360,125.605830
1012,EBC 1.2.3 Hato-Udo Vila,Basic,-9.123202,125.591735
1013,EBC 1.2.3 Hatubuilico,Basic,-8.898219,125.519777
46,EBC 1.2.3 Lemos de Almeida Soro,Basic,-8.997830,125.515820
65,EBC 1.2.3 Maubisse Vila,Basic,-8.832710,125.600670
5316,EBC 1.2.3 RIMORI,Basic,-8.843834,125.595020
5117,EBC 1.2.3 Rita Maubisse,Basic,-8.828324,125.621516
951,EBC 3 Agapito da Costa Ailora,Basic,-9.114940,125.642500
1015,EBC 3 Bei-Ubo Nunomoge,Basic,-8.959378,125.529700
1021,EBC 3 Groto,Basic,-8.867464,125.596756
1008,EBC 3 V. Feraz Ainaro,Basic,-8.996100,125.506690
597,EBF 1. 2 Sabago Leo - Pat,Basic,-8.983470,125.506180
1230,EBF 1.2  Talale,Basic,-8.878932,125.654477
257,EBF 1.2 Ailora,Basic,-9.114464,125.641836
252,EBF 1.2 Beicala,Basic,-9.108790,125.660050
11,EBF 1.2 Betulala,Basic,-8.930760,125.605080
253,EBF 1.2 Bismata,Basic,-9.132130,125.605500
936,EBF 1.2 Bobe,Basic,-9.156954,125.657865
5311,EBF 1.2 Bonuc,Basic,-9.190424,125.562555
1257,EBF 1.2 Bui Fu,Basic,-8.770966,125.434268
48,EBF 1.2 Builico,Basic,-9.042900,125.508560
740,EBF 1.2 Caisero,Basic,-9.099769,125.682432
627,EBF 1.2 Demitete,Basic,-8.845020,125.666060
5114,EBF 1.2 Dr. Jacob Xavier,Basic,-8.997135,125.504036
61,EBF 1.2 Edi,Basic,-8.845120,125.631020
1262,EBF 1.2 Ernaru,Basic,-9.033771,125.520461
62,EBF 1.2 Fatubessi,Basic,-8.807831,125.625469
949,EBF 1.2 Fatumeta,Basic,-9.182410,125.619960
828,EBF 1.2 Faulata,Basic,-9.082590,125.530480
2271,EBF 1.2 Goulau Tahan-Terus,Basic,-8.993380,125.582240
5313,EBF 1.2 Goulora,Basic,-8.949720,125.573520
741,EBF 1.2 Hatometa-Udo,Basic,-8.964900,125.509840
12,EBF 1.2 Hautilo,Basic,-8.830380,125.672170
63,EBF 1.2 Horaiquic,Basic,-8.863730,125.585090
254,EBF 1.2 Hutseo,Basic,-9.151454,125.581265
935,EBF 1.2 Lait,Basic,-9.047830,125.463600
58,EBF 1.2 Lebo Lau,Basic,-8.964448,125.525936
929,EBF 1.2 Leolima,Basic,-9.110540,125.586240
5312,EBF 1.2 Leotelo,Basic,-8.964820,125.535950
64,EBF 1.2 Lequibau-Ulo,Basic,-8.901735,125.619320
256,EBF 1.2 Lesso,Basic,-9.109050,125.621200
985,EBF 1.2 Lias,Basic,-9.112111,125.534247
1163,EBF 1.2 Liquitei,Basic,-9.322699,124.374077
5315,EBF 1.2 Liurai,Basic,-8.847780,125.541968
769,EBF 1.2 Luan Cadoi,Basic,-9.150200,125.535990
255,EBF 1.2 Luro,Basic,-9.127759,125.582493
827,EBF 1.2 Maneto,Basic,-8.836600,125.693413
53,EBF 1.2 Manumera,Basic,-8.890372,125.566779
824,EBF 1.2 Manutasi,Basic,-8.987534,125.516086
2270,EBF 1.2 Mau-Ulo,Basic,-8.992440,125.465590
1199,EBF 1.2 Maubisse Balibo,Basic,-8.843179,125.595704
54,EBF 1.2 Nunomogue,Basic,-8.959400,125.524700
44,EBF 1.2 Pader,Basic,-8.991554,125.486136
47,EBF 1.2 Queorema,Basic,-8.882953,125.534489
1731,EBF 1.2 Rialeco,Basic,-8.802263,125.613960
5116,EBF 1.2 Rileco,Basic,-8.834070,125.584210
